ID_SCENARIO,vento_medio,std_vento,zavorra,angolo_rampa,delay_secondi,SIM_N,ANGOLO_ACC_C6,INCLINAZIONE
V0_T0.05_Z0,0.0,0.0,0,0.0,0.8,1,,
V0_T0.05_Z0,0.0,0.0,0,0.0,0.8,2,,
V0_T0.05_Z0,0.0,0.0,0,0.0,0.8,3,,
V0_T0.05_Z0,0.0,0.0,0,0.0,0.8,4,,
V0_T0.05_Z0,0.0,0.0,0,0.0,0.8,5,,
V0_T0.05_Z0,0.0,0.0,0,0.0,0.8,6,,
V0_T0.05_Z0,0.0,0.0,0,0.0,0.8,7,,
V0_T0.05_Z0,0.0,0.0,0,0.0,0.8,8,,
V0_T0.05_Z0,0.0,0.0,0,0.0,0.8,9,,
V0_T0.05_Z0,0.0,0.0,0,0.0,0.8,10,,
V0_T0.05_Z20,0.0,0.0,20,0.0,1.45,1,,
V0_T0.05_Z20,0.0,0.0,20,0.0,1.45,2,,
V0_T0.05_Z20,0.0,0.0,20,0.0,1.45,3,,
V0_T0.05_Z20,0.0,0.0,20,0.0,1.45,4,,
V0_T0.05_Z20,0.0,0.0,20,0.0,1.45,5,,
V0_T0.05_Z20,0.0,0.0,20,0.0,1.45,6,,
V0_T0.05_Z20,0.0,0.0,20,0.0,1.45,7,,
V0_T0.05_Z20,0.0,0.0,20,0.0,1.45,8,,
V0_T0.05_Z20,0.0,0.0,20,0.0,1.45,9,,
V0_T0.05_Z20,0.0,0.0,20,0.0,1.45,10,,
V0_T0.05_Z40,0.0,0.0,40,0.0,2.05,1,,
V0_T0.05_Z40,0.0,0.0,40,0.0,2.05,2,,
V0_T0.05_Z40,0.0,0.0,40,0.0,2.05,3,,
V0_T0.05_Z40,0.0,0.0,40,0.0,2.05,4,,
V0_T0.05_Z40,0.0,0.0,40,0.0,2.05,5,,
V0_T0.05_Z40,0.0,0.0,40,0.0,2.05,6,,
V0_T0.05_Z40,0.0,0.0,40,0.0,2.05,7,,
V0_T0.05_Z40,0.0,0.0,40,0.0,2.05,8,,
V0_T0.05_Z40,0.0,0.0,40,0.0,2.05,9,,
V0_T0.05_Z40,0.0,0.0,40,0.0,2.05,10,,
V0_T0.05_Z60,0.0,0.0,60,0.0,2.35,1,,
V0_T0.05_Z60,0.0,0.0,60,0.0,2.35,2,,
V0_T0.05_Z60,0.0,0.0,60,0.0,2.35,3,,
V0_T0.05_Z60,0.0,0.0,60,0.0,2.35,4,,
V0_T0.05_Z60,0.0,0.0,60,0.0,2.35,5,,
V0_T0.05_Z60,0.0,0.0,60,0.0,2.35,6,,
V0_T0.05_Z60,0.0,0.0,60,0.0,2.35,7,,
V0_T0.05_Z60,0.0,0.0,60,0.0,2.35,8,,
V0_T0.05_Z60,0.0,0.0,60,0.0,2.35,9,,
V0_T0.05_Z60,0.0,0.0,60,0.0,2.35,10,,
V0_T0.15_Z0,0.0,0.0,0,0.0,0.8,1,,
V0_T0.15_Z0,0.0,0.0,0,0.0,0.8,2,,
V0_T0.15_Z0,0.0,0.0,0,0.0,0.8,3,,
V0_T0.15_Z0,0.0,0.0,0,0.0,0.8,4,,
V0_T0.15_Z0,0.0,0.0,0,0.0,0.8,5,,
V0_T0.15_Z0,0.0,0.0,0,0.0,0.8,6,,
V0_T0.15_Z0,0.0,0.0,0,0.0,0.8,7,,
V0_T0.15_Z0,0.0,0.0,0,0.0,0.8,8,,
V0_T0.15_Z0,0.0,0.0,0,0.0,0.8,9,,
V0_T0.15_Z0,0.0,0.0,0,0.0,0.8,10,,
V0_T0.15_Z20,0.0,0.0,20,0.0,1.45,1,,
V0_T0.15_Z20,0.0,0.0,20,0.0,1.45,2,,
V0_T0.15_Z20,0.0,0.0,20,0.0,1.45,3,,
V0_T0.15_Z20,0.0,0.0,20,0.0,1.45,4,,
V0_T0.15_Z20,0.0,0.0,20,0.0,1.45,5,,
V0_T0.15_Z20,0.0,0.0,20,0.0,1.45,6,,
V0_T0.15_Z20,0.0,0.0,20,0.0,1.45,7,,
V0_T0.15_Z20,0.0,0.0,20,0.0,1.45,8,,
V0_T0.15_Z20,0.0,0.0,20,0.0,1.45,9,,
V0_T0.15_Z20,0.0,0.0,20,0.0,1.45,10,,
V0_T0.15_Z40,0.0,0.0,40,0.0,2.05,1,,
V0_T0.15_Z40,0.0,0.0,40,0.0,2.05,2,,
V0_T0.15_Z40,0.0,0.0,40,0.0,2.05,3,,
V0_T0.15_Z40,0.0,0.0,40,0.0,2.05,4,,
V0_T0.15_Z40,0.0,0.0,40,0.0,2.05,5,,
V0_T0.15_Z40,0.0,0.0,40,0.0,2.05,6,,
V0_T0.15_Z40,0.0,0.0,40,0.0,2.05,7,,
